Task id,Dummy,Ratio,Adaptative,MaxMarginal,"Multiplicative 
Weights",
0,7,0,0,0,0,0
1,9,0,0,0,0,0
2,15,0,0,0,0,0
3,21,0,0,0,0,0
4,27,0,0,0,0,0
5,27,2,2,0,0,0
6,31,2,2,0,0,0
7,41,2,2,0,0,0
8,41,4,4,0,0,1
9,41,128,463,476,256,225
10,44,128,463,476,256,225
11,44,130,463,773,424,424
12,45,130,463,773,424,424
13,45.5,130,463,773,424,424
14,45.5,132,463,952,486,508
15,45.5,134,463,952,486,508
16,46.5,134,463,952,486,508
17,52.5,134,463,952,486,508
18,52.5,136,535,1502,800,1008
19,60.5,136,535,1502,800,1008
20,104,235,634,1601,899,1107
