Task number,Random,0,0.2,0.4
0,7,0,0,
1,9,0,0,
2,15,0,0,
3,21.0000000000009,0,0,
4,27,0,0,
5,27,0,0,
6,31,0,0,
7,41,0,0,
8,41,0,0,
9,41,223,223,
10,44,223,223,
11,44,386,386,
12,45,386,386,
13,45.5,386,386,
14,45.5,451,451,
15,45.5,451,451,
16,45.5,451,451,
17,51.5,451,451,
18,51.5,770,770,
19,59.5,770,770,
20,69,770,770,
21,69,770,770,
22,76,770,770,
23,76,770,770,
24,76,770,770,
25,84,770,770,
26,89,770,770,
27,98,770,770,
28,99,770,770,
29,100,770,770,
30,110,770,770,
31,110,768,768,
32,110,768,768,
33,111,768,768,
34,111,768,768,
35,111,768,768,
36,111,1793,1793,
37,111,1793,1793,
38,114,1793,1793,
39,123,1793,1793,
-1,123,1793,1793,
